category,url,hostname,discription
Environment,http://www.slwcs.org/,www.slwcs.org,Sri Lanka Wildlife Conservation Society
Environment,http://www.wht.lk/,www.wht.lk,The Wildlife Heritage Trust of Sri Lanka
History,https://en.wikipedia.org/wiki/History_of_Sri_Lanka,en.wikipedia.org,Sri Lanka History
History,http://www.infolanka.com/org/srilanka/hist.html,www.infolanka.com,History & Archaeology - Sri Lanka Explorer
History,http://www.lankalibrary.com/geo.html,www.lankalibrary.com,History & Archaeology
History,http://withanage.tripod.com/people.htm,withanage.tripod.com,The People of Sri Lanka ... a historical perspective
History,http://www.atimes.com/ind-pak/CH11Df02.html,www.atimes.com,Sri Lanka: The untold story
Government,http://www.gov.lk/,www.gov.lk,Sri Lanka Government
Government,http://www.president.gov.lk/,www.president.gov.lk,President of Sri Lanka
Government,http://www.parliament.lk/,www.parliament.lk,Sri Lanka Parliament
Government,http://www.mfa.gov.lk/,www.mfa.gov.lk,Ministry of Foreign Affairs Sri Lanka
Government,http://www.slembassyusa.org/,www.slembassyusa.org,Embassy of Sri Lanka in the U.S.
Government,http://www.mfa.gov.lk/index.php/en/missions,www.mfa.gov.lk,Sri Lanka Missions Abroad
Government,http://www.mfa.gov.lk/index.php/en/missions/diplomatic-missions-in-sri-lanka-,www.mfa.gov.lk,Diplomatic Missions in Sri Lanka
Government,http://www.statistics.gov.lk/,www.statistics.gov.lk,Department of Census and Statistics
Government,http://www.meteo.gov.lk/,www.meteo.gov.lk,Meteorological Department - Sri Lanka
Government,maps.htm,None,Maps
Government,map/sri_lanka_map.htm,None,Sri Lanka Administrative Map
Government,map/Sri-Lanka-political-map.htm,None,Sri Lanka Map
Government,map/google_map_sri_lanka.htm,None,Google Earth Sri Lanka
Government,map/google_map_Colombo.htm,None,Google Earth Colombo
Government,map_of_southeast_asia.htm,None,Map of Southeast Asia
Government,asia_map.htm,None,Map of Asia
Government,http://www.pixinn.net/,www.pixinn.net,Christophe Meneboeuf
News,http://colombopage.com/,colombopage.com,Colombo Page
News,http://www.dailymirror.lk/,www.dailymirror.lk,Daily Mirror
News,http://www.dailynews.lk/,www.dailynews.lk,Daily News
News,http://www.island.lk/,www.island.lk,The Island
News,http://www.lankabusinessonline.com/,www.lankabusinessonline.com,Lanka Business Online
News,http://www.news.lk/,www.news.lk,Official Sri Lanka News
News,http://www.sundayobserver.lk/,www.sundayobserver.lk,The Sunday Observer
News,http://www.sundaytimes.lk/,www.sundaytimes.lk,The Sunday Times
News,http://www.tamilnet.com/,www.tamilnet.com,TamilNet
News,http://www.divaina.com/,www.divaina.com,Divaina
News,http://www.lakbima.lk/,www.lakbima.lk,Lakbima
News,http://www.slbc.lk/,www.slbc.lk,Sri Lanka Broadcasting Corporation
News,http://news.bbc.co.uk/1/hi/world/south_asia/country_profiles/1168427.stm,news.bbc.co.uk,BBC News Country Profile: Sri Lanka
News,http://www.alertnet.org/db/cp/srilanka.htm,www.alertnet.org,Reuters AlertNet - Sri Lanka
News,https://www.amnesty.de/laenderbericht/sri-lanka,www.amnesty.de,Amnesty International: Sri Lanka
News,https://www.hrw.org/asia/sri-lanka,www.hrw.org,Human Rights Watch: Sri Lanka
News,https://www.irinnews.org/asia/sri-lanka,www.irinnews.org,IRINnews Sri Lanka 
News,https://rsf.org/en/sri-lanka,rsf.org,Reporters sans frontières - Sri Lanka
Culture,http://www.natlib.lk/,www.natlib.lk,National Library of Sri Lanka
Culture,http://www.amaradeva.com/,www.amaradeva.com,Pandith Amaradeva
Culture,http://www.srilankacricket.lk/,www.srilankacricket.lk,Sri Lankan Cricket
Culture,http://www.lexilogos.com/english/sinhala_dictionary.htm,www.lexilogos.com,Sinhala-english dictionary
Culture,http://www.ceylon-online.com/dic_font_page.html,www.ceylon-online.com,Sinhala and Tamil fonts
Culture,http://www.lankalibrary.com/cul.html,www.lankalibrary.com,WWW Virtual Library - Sri Lanka
Culture,http://members.tripod.com/~hettiarachchi/veddha.html,members.tripod.com,Veddhas: The unspoilt children of nature
Culture,http://www.eelamweb.com/,www.eelamweb.com,EelamWeb
Culture,http://www.tamilnet.com/,www.tamilnet.com,TamilNet
Business,http://www.cbsl.gov.lk/,www.cbsl.gov.lk,Central Bank of Sri Lanka
Business,http://www.ndbbank.com/,www.ndbbank.com,National Development Bank of Sri Lanka
Business,http://www.nccsl.lk/,www.nccsl.lk,National Chamber of Commerce
Business,https://www.chamber.lk/,www.chamber.lk,The Ceylon Chamber of Commerce
Business,http://www.srilanka-apparel.com/,www.srilanka-apparel.com,Sri Lanka Apparel Exporters Association
Business,http://www.imexport.gov.lk,www.imexport.gov.lk,Import and Export Control Department
Business,http://www.srilankabusiness.com/,www.srilankabusiness.com,Sri Lanka Export Development Board - EDB
Business,http://www.investsrilanka.com/,www.investsrilanka.com,Board of Investment of Sri Lanka
Business,http://www.pureceylontea.com/,www.pureceylontea.com,Sri Lanka Teaboard
Business,http://www.akbar.com/,www.akbar.com,Akbar
Business,http://www.dilmahtea.com/,www.dilmahtea.com,Dilmah
Business,http://www.mabrocteas.com/,www.mabrocteas.com,Mabroc Teas
Business,http://www.lankabusinessonline.com/,www.lankabusinessonline.com,Lanka Business Online
Business,http://www.lankalinksystems.com/,www.lankalinksystems.com,Lanka Link
Business,http://www.lsplk.com/,www.lsplk.com,Sri Lanka Yellow Pages
Business,http://www.srilankan.aero/,www.srilankan.aero,Sri Lankan Airlines
Business,http://www.slpa.lk/,www.slpa.lk,Sri Lanka Ports Authority
Education,http://www.lacnet.org/,www.lacnet.org,Lanka Academic Network
Education,http://www.cmb.ac.lk/,www.cmb.ac.lk,University of Colombo
Education,http://www.mrt.ac.lk/,www.mrt.ac.lk,University of Moratuwa
Education,http://www.pdn.ac.lk/,www.pdn.ac.lk,University of Peradeniya
Education,http://www.nsf.ac.lk/,www.nsf.ac.lk,National Science Foundation (NSF)
